player_id,team_id,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
25,47,0,1,4,25,4,0,1,0.75,1.33x,0
730,33,0,0,0,0,0,0,0,0,0x,0
200,28,0,0,6,0,3,3,0,0.35,0x,3
382,47,0,3,6,0,6,0,5,0.39,0x,0
1047,47,0,0,0,0,0,0,0,0,0x,0
149,46,0,2,3,33,3,0,1,0.27,3.7x,0
951,34,0,0,1,0,0,1,0,0.01,0x,0
1082,10,0,0,0,0,0,0,0,0,0x,0
546,10,0,1,5,0,2,3,0,0.24,0x,0
1181,2,0,0,0,0,0,0,0,0,0x,0
1208,16,0,0,1,0,1,0,1,0.04,0x,0
424,28,0,0,5,0,3,2,0,0.13,0x,2
579,16,0,3,8,0,4,4,0,0.72,0x,3
1084,28,0,1,2,0,2,0,0,0.34,0x,0
449,34,0,0,0,0,0,0,0,0,0x,0
389,33,0,0,0,0,0,0,0,0,0x,0
226,28,0,0,0,0,0,0,0,0,0x,0
110,33,0,0,0,0,0,0,0,0,0x,0
794,47,0,0,1,0,1,0,1,0.05,0x,0
289,16,0,0,0,0,0,0,0,0,0x,0
348,2,0,0,0,0,0,0,0,0,0x,0
426,47,0,0,0,0,0,0,0,0,0x,0
270,7,0,1,2,0,2,0,1,0.19,0x,0
838,46,0,0,1,0,1,0,1,0.06,0x,0
526,10,0,3,6,0,2,4,0,0.24,0x,11
922,2,0,0,0,0,0,0,0,0,0x,0
556,10,0,4,9,11,7,2,0,0.94,1.07x,4
327,33,0,0,0,0,0,0,0,0,0x,0
191,34,0,0,0,0,0,0,0,0,0x,0
733,7,0,0,0,0,0,0,0,0,0x,0
240,46,0,0,1,0,1,0,1,0.06,0x,0
622,2,0,5,11,9,7,4,0,1.39,0.72x,0
916,47,0,2,4,0,1,3,0,0.11,0x,4
93,28,0,2,3,33,2,1,0,0.35,2.85x,0
1083,47,0,0,0,0,0,0,0,0,0x,0
777,7,0,0,2,0,2,0,1,0.21,0x,0
992,16,0,0,0,0,0,0,0,0,0x,0
269,7,0,0,1,0,1,0,0,0.04,0x,0
44,16,0,0,0,0,0,0,0,0,0x,0
58,7,0,0,0,0,0,0,0,0,0x,0
575,28,0,0,1,0,1,0,1,0.22,0x,0
103,33,0,1,5,0,4,1,0,0.37,0x,0
600,33,0,1,3,0,1,2,0,0.24,0x,3
441,28,0,0,0,0,0,0,0,0,0x,0
287,10,0,0,0,0,0,0,0,0,0x,0
352,16,0,6,10,0,9,1,2,1.53,0x,0
317,7,0,0,2,0,2,0,0,0.2,0x,0
654,10,0,0,0,0,0,0,0,0,0x,0
1044,7,0,0,0,0,0,0,0,0,0x,0
282,10,0,2,6,0,5,1,4,0.54,0x,0
20,33,0,0,0,0,0,0,0,0,0x,0
906,7,0,2,3,33,3,0,0,0.82,1.22x,5
115,16,0,0,0,0,0,0,0,0,0x,0
599,33,0,0,1,0,1,0,1,0.25,0x,0
1040,47,0,0,0,0,0,0,0,0,0x,0
68,34,0,0,0,0,0,0,0,0,0x,0
59,46,0,0,1,0,1,0,0,0,0x,0
550,16,0,0,0,0,0,0,0,0,0x,0
957,34,0,0,0,0,0,0,0,0,0x,0
574,10,0,2,3,0,1,2,1,0.13,0x,0
954,28,0,0,1,0,1,0,0,0.09,0x,0
52,34,0,0,0,0,0,0,0,0,0x,0
125,16,0,0,0,0,0,0,0,0,0x,0
229,33,0,0,0,0,0,0,0,0,0x,0
616,2,0,0,0,0,0,0,0,0,0x,0
1099,47,0,0,0,0,0,0,0,0,0x,0
94,10,0,0,0,0,0,0,0,0,0x,0
998,16,0,0,3,0,3,0,3,0.4,0x,1
801,46,0,0,0,0,0,0,0,0,0x,0
357,33,0,0,1,0,0,1,0,0,0x,2
71,28,0,0,0,0,0,0,0,0,0x,0
1085,47,0,0,0,0,0,0,0,0,0x,0
567,47,0,0,0,0,0,0,0,0,0x,0
436,16,0,0,0,0,0,0,0,0,0x,0
892,2,0,0,1,0,0,1,0,0.02,0x,0
869,16,0,1,4,0,1,3,1,0.19,0x,8
1012,7,0,2,3,0,1,2,0,0.34,0x,7
351,7,0,0,3,0,2,1,0,0.68,0x,0
591,10,0,0,0,0,0,0,0,0,0x,0
303,34,0,0,6,0,2,4,0,0.25,0x,1
755,47,0,1,3,0,0,3,0,0.09,0x,0
788,28,0,1,1,100,1,0,0,0.49,2.04x,0
1201,16,0,1,1,0,1,0,1,0.11,0x,0
1043,47,0,0,0,0,0,0,0,0,0x,0
1149,2,0,2,5,0,2,3,0,0.25,0x,0
614,34,0,1,2,0,1,1,0,0.07,0x,0
560,33,0,0,2,0,1,1,0,0.15,0x,0
