player_id,team_id,goals,assists,minutes_played
622,2,1,0,576
253,2,1,0,612
437,43,1,0,673
826,19,0,5,617
204,7,0,4,458
190,29,0,4,500
782,32,0,4,537
205,18,0,3,308
396,20,0,3,405
1034,28,0,3,476
478,1,0,2,191
458,44,0,2,298
241,31,0,2,306
1059,30,0,2,374
606,20,0,2,392
920,5,0,2,396
296,30,0,2,432
265,41,0,2,456
977,32,0,2,519
757,41,0,2,717
601,2,0,1,28
295,6,0,1,33
1170,40,0,1,44
1212,8,0,1,46
891,20,0,1,50
674,25,0,1,56
822,11,0,1,59
257,10,0,1,66
7,39,0,1,66
817,30,0,1,68
194,21,0,1,70
1133,25,0,1,77
364,21,0,1,109
678,25,0,1,138
452,17,0,1,138
659,16,0,1,146
618,10,0,1,146
66,15,0,1,155
956,45,0,1,172
434,2,0,1,180
541,22,0,1,186
1197,12,0,1,190
640,17,0,1,198
512,6,0,1,200
825,4,0,1,207
722,42,0,1,207
1153,30,0,1,211
983,3,0,1,214
764,41,0,1,217
235,29,0,1,217
1151,5,0,1,226
329,36,0,1,228
1154,31,0,1,241
41,48,0,1,243
244,46,0,1,253
727,7,0,1,255
1206,4,0,1,265
917,39,0,1,271
388,41,0,1,274
911,2,0,1,275
101,23,0,1,279
375,2,0,1,283
688,39,0,1,287
334,26,0,1,287
789,13,0,1,293
1032,25,0,1,295
701,27,0,1,300
1189,15,0,1,301
274,4,0,1,302
489,12,0,1,305
873,18,0,1,308
937,26,0,1,309
1015,7,0,1,327
139,11,0,1,340
563,35,0,1,342
734,13,0,1,360
1209,12,0,1,361
732,10,0,1,365
1060,8,0,1,366
1091,6,0,1,373
989,35,0,1,381
593,28,0,1,388
230,29,0,1,390
360,28,0,1,391
148,19,0,1,407
991,16,0,1,407
231,11,0,1,409
676,4,0,1,412
607,13,0,1,413
1063,39,0,1,421
882,39,0,1,459
1042,2,0,1,466
203,35,0,1,471
277,32,0,1,477
756,17,0,1,495
286,18,0,1,519
448,10,0,1,520
409,7,0,1,520
1156,5,0,1,546
849,17,0,1,546
24,19,0,1,555
1028,43,0,1,567
342,18,0,1,693
157,41,0,1,713
2,11,0,0,0
19,1,0,0,0
273,4,0,0,0
36,37,0,0,0
843,17,0,0,0
1074,45,0,0,0
901,37,0,0,0
5,26,0,0,0
1241,37,0,0,0
28,37,0,0,0
1068,37,0,0,0
889,17,0,0,0
147,43,0,0,0
604,21,0,0,0
1047,47,0,0,0
550,16,0,0,0
21,44,0,0,0
662,44,0,0,0
245,21,0,0,0
106,26,0,0,0
169,27,0,0,0
938,26,0,0,0
677,31,0,0,0
823,36,0,0,0
320,11,0,0,0
948,20,0,0,0
92,45,0,0,0
686,31,0,0,0
1226,29,0,0,0
1062,44,0,0,0
432,35,0,0,0
146,21,0,0,0
1176,14,0,0,0
239,46,0,0,0
761,8,0,0,0
1083,47,0,0,0
319,13,0,0,0
591,10,0,0,0
20,33,0,0,0
289,16,0,0,0
1112,40,0,0,0
1167,18,0,0,0
1049,24,0,0,0
1002,44,0,0,0
238,27,0,0,0
716,8,0,0,0
189,40,0,0,0
1056,35,0,0,0
294,24,0,0,0
426,47,0,0,0
675,5,0,0,0
1237,5,0,0,0
839,3,0,0,0
211,3,0,0,0
1220,39,0,0,0
1199,10,0,0,0
1168,14,0,0,0
1126,8,0,0,0
611,22,0,0,0
473,42,0,0,0
1136,17,0,0,0
1018,44,0,0,0
802,11,0,0,0
186,48,0,0,0
780,13,0,0,0
1178,48,0,0,0
327,33,0,0,0
1157,11,0,0,0
