player_id,team_id,player_name,position,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied
939,29,Noussair Mazraoui,DF,0,29,59,20
318,22,Duckens Nazon,FW,0,1,6,0
321,44,Dylan Bronn,DF,0,1,4,1
336,39,El Hadji Malick Diouf,DF,0,14,37,5
1010,17,Ramy Rabia,DF,0,12,31,11
171,39,Bara Sapoko Ndiaye,MF,0,2,11,3
544,22,Jean Ricner Bellegarde,MF,0,13,89,17
883,44,Moutaz Neffati,DF,0,0,0,0
34,29,Ahmed Reda Tagnaouti,GK,0,0,0,0
510,29,Issa Diop,DF,0,4,22,3
844,44,Mohamed Amine Ben Hmida,DF,0,7,30,11
1119,40,Sphephelo Sithole,MF,0,7,72,13
455,17,Hamdy Fathy,MF,0,6,82,18
1220,39,Yehvann Diouf,GK,0,0,0,0
107,29,Anass Salah Eddine,DF,0,3,35,10
484,17,Ibrahim Adel,FW,0,2,4,2
781,22,Martin Experience,DF,0,26,91,26
1122,9,Stephen Eustaquio,MF,0,16,91,15
688,39,Lamine Camara,MF,0,11,124,20
640,17,Karim Hafez,DF,0,4,36,13
853,17,Mohamed Salah,FW,0,18,150,9
425,8,Gilson Benchimol,FW,0,5,52,4
283,9,Dayne St Clair,GK,0,0,0,0
580,22,Johny Placide,GK,0,0,0,0
126,39,Antoine Mendy,DF,0,0,0,0
146,21,Augustine Boakye,MF,0,0,0,0
1132,9,Tajon Buchanan,FW,0,29,136,32
975,39,Pathe Ciss,MF,0,3,11,5
339,44,Elias Saad,FW,0,6,53,3
952,17,Omar Marmoush,FW,0,27,109,11
1062,44,Sabri Ben Hessen,GK,0,0,0,0
242,12,Christ Inao Oulai,MF,0,21,82,20
145,40,Aubrey Modiba,DF,0,12,67,14
31,17,Ahmed Fatouh,DF,0,24,49,9
876,39,Mory Diaw,GK,0,0,0,0
690,8,Laros Duarte,MF,0,13,97,4
403,22,Frantzdy Pierrot,FW,0,3,41,3
