player_id,team_id,player_name,position,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
790,7,Matheus Cunha,FW,0,4,10,30,5,5,1,1.21,2.49x,3
136,28,Armando Gonzalez,FW,0,0,0,0,0,0,0,0,0x,0
381,47,Federico Valverde,MF,0,2,10,0,3,7,0,0.5,0x,2
239,46,Chris Brady,GK,0,0,0,0,0,0,0,0,0x,0
929,16,Nilson Angulo,FW,0,2,2,50,0,2,0,0.04,25.98x,7
419,2,Geronimo Rulli,GK,0,0,0,0,0,0,0,0,0x,0
225,33,Cesar Blackman,DF,0,1,2,0,2,0,0,0.08,0x,0
252,46,Cristian Roldan,MF,0,0,0,0,0,0,0,0,0x,0
570,46,Joe Scally,DF,0,0,0,0,0,0,0,0,0x,0
407,34,Gabriel Avalos,FW,0,0,1,0,1,0,0,0.05,0x,0
435,16,Gonzalo Plata,FW,0,5,8,13,4,4,1,1.16,0.86x,4
131,34,Antonio Sanabria,FW,0,0,0,0,0,0,0,0,0x,0
111,34,Andres Cubas,MF,0,0,1,0,0,1,0,0.02,0x,0
325,7,Ederson Silva,MF,0,0,2,0,1,1,0,0.34,0x,0
447,34,Gustavo Gomez,DF,0,0,2,0,2,0,2,0.07,0x,0
1038,33,Roderick Miller,DF,0,0,0,0,0,0,0,0,0x,0
427,2,Giovani Lo Celso,MF,0,1,1,100,0,1,0,0.15,6.61x,1
602,47,Jose Maria Gimenez,DF,0,0,0,0,0,0,0,0,0x,0
196,7,Bremer,DF,0,0,0,0,0,0,0,0,0x,0
1155,46,Tim Ream,DF,0,0,0,0,0,0,0,0,0x,0
942,28,Obed Vargas,MF,0,1,1,0,0,1,0,0.02,0x,0
290,15,Denis Visinsky,FW,0,0,3,0,2,1,0,0.26,0x,0
985,15,Pavel Sulc,FW,0,0,2,0,0,2,0,0.03,0x,0
215,42,Carl Starfelt,DF,0,0,0,0,0,0,0,0,0x,0
234,38,Che Adams,FW,0,1,1,0,1,0,0,0.15,0x,0
683,42,Kristoffer Nordfeldt,GK,0,0,0,0,0,0,0,0,0x,0
830,43,Michel Aebischer,MF,0,1,2,0,2,0,1,0.34,0x,5
1161,15,Tomas Holes,DF,0,0,0,0,0,0,0,0,0x,0
1179,41,Unai Simon,GK,0,0,0,0,0,0,0,0,0x,0
362,6,Ermedin Demirovic,FW,0,4,4,0,1,3,0,0.08,0x,0
586,3,Jordan Bos,DF,0,2,5,0,3,2,0,0.42,0x,0
910,43,Nico Elvedi,DF,0,0,3,0,3,0,2,0.3,0x,0
276,15,David Jurasek,DF,0,0,0,0,0,0,0,0,0x,0
577,38,John Souttar,DF,0,0,0,0,0,0,0,0,0x,0
243,43,Christian Fassnacht,FW,0,0,0,0,0,0,0,0,0x,0
709,38,Liam Kelly,GK,0,0,0,0,0,0,0,0,0x,0
416,41,Gavi,MF,0,0,1,0,1,0,0,0.01,0x,0
398,31,Francis De Vries,DF,0,0,0,0,0,0,0,0,0x,2
328,6,Edin Dzeko,FW,0,0,3,0,3,0,0,0.2,0x,0
1121,15,Stepan Chaloupek,DF,0,0,0,0,0,0,0,0,0x,0
677,31,Kosta Barbarouses,FW,0,0,0,0,0,0,0,0,0x,0
386,45,Ferdi Kadioglu,DF,0,0,1,0,0,1,0,0.04,0x,0
686,31,Lachlan Bayliss,MF,0,0,0,0,0,0,0,0,0x,0
518,3,Jackson Irvine,MF,0,1,3,0,3,0,1,0.21,0x,0
708,38,Lewis Ferguson,MF,0,1,2,0,0,2,0,0.09,0x,8
687,15,Ladislav Krejci,DF,0,1,5,20,5,0,5,0.54,1.85x,0
