player_id,team_id,player_name,position,goals,assists,minutes_played
1176,14,Tyrick Bodak,GK,0,0,0
239,46,Chris Brady,GK,0,0,0
761,8,Marcio Rosa,GK,0,0,0
1083,47,Santiago Bueno,DF,0,0,0
319,13,Duje Caleta Car,DF,0,0,0
591,10,Jorge Carrascal,MF,0,0,0
20,33,Adalberto Carrasquilla,MF,0,0,0
289,16,Denil Castillo,MF,0,0,0
1112,40,Sipho Chaine,GK,0,0,0
1167,18,Trevoh Chalobah,DF,0,0,0
1049,24,Roozbeh Cheshmi,MF,0,0,0
1002,44,Raed Chikhaoui,DF,0,0,0
238,27,Cho Wije,DF,0,0,0
716,8,Logan Costa,DF,0,0,0
189,40,Bradley Cross,DF,0,0,0
1056,35,Rui Silva,GK,0,0,0
294,24,Dennis Dargahi,FW,0,0,0
426,47,Giorgian De Arrascaeta,MF,0,0,0
675,5,Koni De Winter,DF,0,0,0
1237,5,Zeno Debast,DF,0,0,0
839,3,Milos Degenek,DF,0,0,0
211,3,Cameron Devlin,MF,0,0,0
1220,39,Yehvann Diouf,GK,0,0,0
1199,10,Willer Ditta,DF,0,0,0
1168,14,Trevor Doornbusch,GK,0,0,0
1126,8,Stopira,DF,0,0,0
611,22,Josue Duverger,GK,0,0,0
473,42,Hjalmar Ekdal,DF,0,0,0
1136,17,Tarek Alaa,DF,0,0,0
1018,44,Rayan Elloumi,FW,0,0,0
802,11,Matthieu Epolo,GK,0,0,0
186,48,Botirali Ergashev,GK,0,0,0
780,13,Martin Erlic,DF,0,0,0
1178,48,Umar Eshmurodov,DF,0,0,0
327,33,Edgardo Farina,DF,0,0,0
1157,11,Timothy Fayulu,GK,0,0,0
657,14,Kevin Felida,MF,0,0,0
415,34,Gatito Fernandez,GK,0,0,0
771,30,Mark Flekken,GK,0,0,0
1174,38,Tyler Fletcher,MF,0,0,0
1165,13,Toni Fruk,MF,0,0,0
431,35,Goncalo Guedes,FW,0,0,0
358,41,Eric Garcia,DF,0,0,0
562,41,Joan Garcia,GK,0,0,0
740,30,Lutsharel Geertruida,DF,0,0,0
602,47,Jose Maria Gimenez,DF,0,0,0
967,9,Owen Goodman,GK,0,0,0
250,38,Craig Gordon,GK,0,0,0
1026,40,Ricardo Goss,GK,0,0,0
55,41,Alex Grimaldo,DF,0,0,0
972,12,Parfait Guiagon,MF,0,0,0
820,45,Mert Gunok,GK,0,0,0
1005,26,Rajaei Ayed,MF,0,0,0
1066,36,Salah Zakaria,GK,0,0,0
285,18,Dean Henderson,GK,0,0,0
724,19,Lucas Hernandez,DF,0,0,0
418,38,George Hirst,FW,0,0,0
738,15,Lukas Hornicek,GK,0,0,0
476,24,Hossein Hosseini,GK,0,0,0
311,38,Dominic Hyam,DF,0,0,0
744,17,Mahdy Soliman,GK,0,0,0
266,24,Danial Iri,DF,0,0,0
982,3,Paul Izzo,GK,0,0,0
681,13,Kristijan Jakic,DF,0,0,0
1131,36,Tahsin Mohammed,FW,0,0,0
561,27,Jo Hyeonwoo,GK,0,0,0
1185,42,Viktor Johansson,GK,0,0,0
469,42,Herman Johansson,DF,0,0,0
72,9,Alfie Jones,DF,0,0,0
276,15,David Jurasek,DF,0,0,0
841,6,Mladen Jurkas,GK,0,0,0
1079,40,Samukele Kabini,DF,0,0,0
411,11,Gael Kakuta,FW,0,0,0
908,19,Ngolo Kante,MF,0,0,0
